SCHOOL NAME,COMMUNITY,Juniors This Year,Seniors This Year,Juniors Last Year,Seniors Last Year,JuniorDelta,SeniorDelta
Acadia Colony School,Carberry ¹,1.0,2.0,2.0,3.0,0.5,0.6666666666666666
Carberry Collegiate,Carberry,48.0,41.0,45.0,34.0,1.0666666666666667,1.2058823529411764
Neepawa Area Collegiate,Neepawa,82.0,84.0,74.0,92.0,1.1081081081081081,0.9130434782608695
Riverbend Colony School,Carberry ¹,1.0,0.0,0.0,3.0,inf,0.0
Riverside Colony School,Neepawa ¹,1.0,1.0,1.0,0.0,1.0,inf
Rolling Acres School,Birnie ¹,1.0,0.0,0.0,2.0,inf,0.0
Spruce Woods School,Brookdale ¹,1.0,4.0,4.0,1.0,0.25,4.0
Willerton School,Neepawa ¹,2.0,4.0,4.0,0.0,0.5,inf
Blue Clay Colony School,Dominion City ¹,5.0,2.0,2.0,3.0,2.5,0.6666666666666666
Glenway Colony School,Dominion City ¹,3.0,2.0,2.0,1.0,1.5,2.0
Green Ridge School,Dominion City ¹,1.0,0.0,2.0,0.0,0.5,
Horizon Colony School,Altona ¹,3.0,2.0,1.0,0.0,3.0,inf
Pineland Colony School,Piney ¹,3.0,3.0,1.0,4.0,3.0,0.75
Ridgeville Colony School,Dominion City ¹,1.0,1.0,1.0,1.0,1.0,1.0
Roseau Valley School,Dominion City,25.0,27.0,35.0,23.0,0.7142857142857143,1.173913043478261
Ross L. Gray School,Sprague,9.0,9.0,5.0,10.0,1.8,0.9
Shevchenko School,Vita,29.0,26.0,29.0,15.0,1.0,1.7333333333333334
W. C. Miller Collegiate,Altona,109.0,101.0,95.0,117.0,1.1473684210526316,0.8632478632478633
Crocus Plains Regional Secondary,Brandon,269.0,302.0,272.0,304.0,0.9889705882352942,0.993421052631579
Neelin High,Brandon,156.0,291.0,146.0,311.0,1.0684931506849316,0.9356913183279743
Spring Valley Colony School,Brandon ¹,1.0,2.0,2.0,1.0,0.5,2.0
Vincent Massey High,Brandon,224.0,254.0,228.0,258.0,0.9824561403508771,0.9844961240310077
Collège Louis-Riel,Winnipeg,102.0,100.0,94.0,113.0,1.0851063829787233,0.8849557522123894
École La Source,Shilo,5.0,1.0,1.0,4.0,5.0,0.25
École Pointe-Des-Chênes,Sainte-Anne,22.0,23.0,19.0,23.0,1.1578947368421053,1.0
École Saint-Joachim,La Broquerie,18.0,26.0,24.0,15.0,0.75,1.7333333333333334
École Saint-Lazare,Saint-Lazare,2.0,4.0,4.0,3.0,0.5,1.3333333333333333
Arborg Collegiate,Arborg,27.0,27.0,25.0,26.0,1.08,1.0384615384615385
Gimli High School,Gimli,79.0,107.0,77.0,86.0,1.025974025974026,1.244186046511628
Riverton Collegiate,Riverton,21.0,24.0,29.0,23.0,0.7241379310344828,1.0434782608695652
