,StateIssuedID,LEA Name,School Name,Site Address,Site City,Site St,Site ZIP,SchNo,SchoolName,Gr11,Gr12
0,01-013-3599,,Hettinger Public School,209 S 8th St,Hettinger,ND,58639,01-013-3599,Hettinger Public School,17,26
1,02-002-4601,,Jefferson Elem School,1150 Central Ave N,Valley City,ND,58072,02-002-4601,Jefferson Elem School,0,0
2,02-002-8954,,Valley City Jr-Sr High School,493 Central Ave N,Valley City,ND,58072,02-002-8954,Valley City Jr-Sr High School,78,92
3,02-002-9241,,Washington Elem School,510 8th Ave SW,Valley City,ND,58072,02-002-9241,Washington Elem School,0,0
4,02-007-9463,,Barnes County North Public School,2192 101st Ave SE,Wimbledon,ND,58492,02-007-9463,Barnes County North Public School,24,13
5,02-046-5298,,Litchville-Marion Elem School,304 6th Ave,Litchville,ND,58461,02-046-5298,Litchville-Marion Elem School,0,0
6,02-046-5483,,Litchville-Marion High School,104 2nd St,Marion,ND,58466,02-046-5483,Litchville-Marion High School,8,8
7,03-005-5741,,Minnewaukan Public School,4675 Hwy 281 N,Minnewaukan,ND,58351,03-005-5741,Minnewaukan Public School,16,12
8,03-006-5184,,Leeds Public School,530 1st St SE,Leeds,ND,58346,03-006-5184,Leeds Public School,14,7
9,03-009-0902,,Maddock Public School,909 1st St,Maddock,ND,58348,03-009-0902,Maddock Public School,10,8
10,03-016-6226,,Oberon Elem School,315 A St N,Oberon,ND,58357,03-016-6226,Oberon Elem School,0,0
11,03-029-9219,,Warwick Public School,210 4th Ave,Warwick,ND,58381,03-029-9219,Warwick Public School,10,8
12,03-030-2910,,Four Winds Comm High School,7268 Hwy 57 W,Fort Totten,ND,58335,03-030-2910,Four Winds Comm High School,43,22
13,04-001-1780,,DeMores Elem School,350 Broadway,Medora,ND,58645,04-001-1780,DeMores Elem School,0,0
14,04-001-7172,,Prairie Elem School,12793 20th St,Belfield,ND,58622,04-001-7172,Prairie Elem School,0,0
15,05-001-1033,,Bottineau Jr-Sr High School,301 Brander St,Bottineau,ND,58318,05-001-1033,Bottineau Jr-Sr High School,44,53
16,05-001-1035,,Bottineau Elem School,301 Brander St,Bottineau,ND,58318,05-001-1035,Bottineau Elem School,0,0
17,05-017-9325,,Westhope Public School,395 Main St,Westhope,ND,58793,05-017-9325,Westhope Public School,7,11
18,05-054-6043,,Newburg-United Public School,400 Libbie St,Newburg,ND,58762,05-054-6043,Newburg-United Public School,4,8
19,06-001-1043,,Bowman Co Public School,102 8th Ave SW,Bowman,ND,58623,06-001-1043,Bowman Co Public School,40,26
20,06-001-7421,,Rhame Elem School,402 4th Ave E,Rhame,ND,58651,06-001-7421,Rhame Elem School,0,0
21,06-033-7785,,Scranton Public School,1st and Fries,Scranton,ND,58653,06-033-7785,Scranton Public School,14,6
22,07-014-1037,,Bowbells Public School,200 Madison Ave,Bowbells,ND,58721,07-014-1037,Bowbells Public School,3,5
23,07-027-7158,,Powers Lake Public School,600 Railroad Ave E,Powers Lake,ND,58773,07-027-7158,Powers Lake Public School,11,14
24,07-036-5262,,Burke Central Public School,101 4th Ave W,Lignite,ND,58752,07-036-5262,Burke Central Public School,15,11
25,08-001-0970,,Bismarck High School,800 N 8th St,Bismarck,ND,58501,08-001-0970,Bismarck High School,280,257
26,08-001-1348,,Centennial Elem School,2800 Ithica Dr,Bismarck,ND,58503,08-001-1348,Centennial Elem School,0,0
27,08-001-1365,,Century High School,1000 E Century Ave,Bismarck,ND,58503,08-001-1365,Century High School,305,309
28,08-001-1897,,Dorothy Moses Elem School,1312 S Columbia Dr,Bismarck,ND,58504,08-001-1897,Dorothy Moses Elem School,0,0
29,08-001-3282,,Grimsrud Elem School,716 W St Benedict Dr,Bismarck,ND,58501,08-001-3282,Grimsrud Elem School,0,0
30,08-001-3612,,Highland Acres Elem School,1200 Prairie Dr,Bismarck,ND,58501,08-001-3612,Highland Acres Elem School,0,0
31,08-001-3795,,Horizon Middle School,500 Ash Coulee Dr,Bismarck,ND,58503,08-001-3795,Horizon Middle School,0,0
32,08-001-4580,,Jeannette Myhre Elem School,919 S 12th St,Bismarck,ND,58504,08-001-4580,Jeannette Myhre Elem School,0,0
33,08-001-5199,,Legacy High School,3400 Calgary Ave,Bismarck,ND,58503,08-001-5199,Legacy High School,276,267
34,08-001-5255,,Liberty Elem School,5400 Onyx Dr,Bismarck,ND,58503,08-001-5255,Liberty Elem School,0,0
35,08-001-5276,,Prairie Rose Elem School,2200 Oahe Bend,Bismarck,ND,58504,08-001-5276,Prairie Rose Elem School,0,0
36,08-001-5286,,Lincoln Elem School,3320 McCurry Way,Lincoln,ND,58504,08-001-5286,Lincoln Elem School,0,0
37,08-001-6129,,Robert Place Miller Elem School,1989 N 20th St,Bismarck,ND,58501,08-001-6129,Robert Place Miller Elem School,0,0
38,08-001-6132,,Northridge Elem School,1727 N 3rd St,Bismarck,ND,58501,08-001-6132,Northridge Elem School,0,0
39,08-001-7090,,Pioneer Elem School,1400 Braman Ave,Bismarck,ND,58501,08-001-7090,Pioneer Elem School,0,0
40,08-001-7472,,Rita Murphy Elem School,611 N 31st St,Bismarck,ND,58501,08-001-7472,Rita Murphy Elem School,0,0
41,08-001-7561,,Roosevelt Elem School,613 W Avenue B,Bismarck,ND,58501,08-001-7561,Roosevelt Elem School,0,0
