DistrictType,SchoolType,DistrictNumber,DistrictName,SchoolNumber,SchoolName,SchoolAddress,SchoolCity,SchoolState,SchoolZip,District No.,District Name,School No.,School Name,Juniors This Year,Seniors This Year,Juniors Last Year,Seniors Last Year,JuniorDelta,SeniorDelta
Public School District,Secondary 9-12,6001,Aberdeen 06-1,1,Central High School - 01,2200 S Roosevelt St,Aberdeen,SD,57401,6001.0,Aberdeen 06-1                 ,1.0,Central High School                     ,335.0,354.0,336.0,315.0,0.9970238095238095,1.1238095238095238
Public School District,Aux Placement,6001,Aberdeen 06-1,89,New Beginnings - 89,1601 Milwaukee Ave NE,Aberdeen,SD,57401,6001.0,Aberdeen 06-1                 ,89.0,New Beginnings                          ,2.0,1.0,2.0,0.0,1.0,inf
Public School District,Secondary 9-12,58003,Agar-Blunt-Onida 58-3,7,Sully Buttes High School - 07,500 8th St,Onida,SD,57564,58003.0,Agar-Blunt-Onida 58-3         ,7.0,Sully Buttes High School                ,18.0,14.0,14.0,25.0,1.2857142857142858,0.56
Public School District,Secondary 9-12,61001,Alcester-Hudson 61-1,1,Alcester-Hudson High School - 01,102 E 5th,Alcester,SD,57001,61001.0,Alcester-Hudson 61-1          ,1.0,Alcester-Hudson High School             ,25.0,21.0,25.0,15.0,1.0,1.4
Public School District,Secondary 9-12,11001,Andes Central 11-1,1,Andes Central High School - 01,400 School St,Lake Andes,SD,57356,11001.0,Andes Central 11-1            ,1.0,Andes Central High School               ,17.0,16.0,18.0,11.0,0.9444444444444444,1.4545454545454546
Public School District,Secondary 9-12,38001,Arlington 38-1,1,Arlington High School - 01,306 S Main St,Arlington,SD,57212,38001.0,Arlington 38-1                ,1.0,Arlington High School                   ,16.0,18.0,17.0,23.0,0.9411764705882353,0.782608695652174
Public School District,Secondary 9-12,21001,Armour 21-1,1,Armour High School - 01,604 3rd St,Armour,SD,57313,21001.0,Armour 21-1                   ,1.0,Armour High School                      ,13.0,15.0,17.0,11.0,0.7647058823529411,1.3636363636363635
Public School District,Secondary 9-12,4001,Avon 04-1,1,Avon High School - 01,210 Pine St,Avon,SD,57315,4001.0,Avon 04-1                     ,1.0,Avon High School                        ,14.0,19.0,22.0,25.0,0.6363636363636364,0.76
Public School District,Secondary 9-12,49001,Baltic 49-1,1,Baltic High School - 01,1 Bulldog Ave,Baltic,SD,57003,49001.0,Baltic 49-1                   ,1.0,Baltic High School                      ,24.0,43.0,46.0,42.0,0.5217391304347826,1.0238095238095237
Public School District,Secondary 9-12,9001,Belle Fourche 09-1,9,Belle Fourche Education Connection - 09,1301 12th Ave,Belle Fourche,SD,57717,9001.0,Belle Fourche 09-1            ,9.0,Belle Fourche Education Connection      ,10.0,24.0,10.0,13.0,1.0,1.8461538461538463
Public School District,Secondary 9-12,9001,Belle Fourche 09-1,1,Belle Fourche High School - 01,1301 12th Ave,Belle Fourche,SD,57717,9001.0,Belle Fourche 09-1            ,1.0,Belle Fourche HS                        ,86.0,99.0,106.0,88.0,0.8113207547169812,1.125
Public School District,Secondary 9-12,3001,Bennett County 03-1,1,Bennett County High School - 01,202 E School St,Martin,SD,57551,3001.0,Bennett County 03-1           ,1.0,Bennett County High School              ,32.0,29.0,38.0,38.0,0.8421052631578947,0.7631578947368421
Public School District,Secondary 9-12,61002,Beresford 61-2,1,Beresford High School - 01,301 W Maple St,Beresford,SD,57004,61002.0,Beresford 61-2                ,1.0,Beresford High School                   ,64.0,49.0,45.0,51.0,1.4222222222222223,0.9607843137254902
Public School District,Secondary 9-12,52001,Bison 52-1,1,Bison High School - 01,200 E Carr St,Bison,SD,57620,52001.0,Bison 52-1                    ,1.0,Bison High School                       ,10.0,12.0,14.0,13.0,0.7142857142857143,0.9230769230769231
Public School District,Secondary 9-12,4002,Bon Homme 04-2,19,Bon Homme Colony Alternative High School - 19,31232 The Colony Rd,Tabor,SD,57063,4002.0,Bon Homme 04-2                ,19.0,BH Colony Alternative HS                ,2.0,1.0,2.0,3.0,1.0,0.3333333333333333
Public School District,Secondary 9-12,4002,Bon Homme 04-2,1,Bon Homme High School - 01,1404 Fir St,Tyndall,SD,57066,4002.0,Bon Homme 04-2                ,1.0,Bon Homme High School                   ,34.0,30.0,31.0,30.0,1.096774193548387,1.0
Public School District,Secondary 9-12,22001,Bowdle 22-1,1,Bowdle High School - 01,3083 2nd Ave,Bowdle,SD,57428-0563,22001.0,Bowdle 22-1                   ,1.0,Bowdle High School                      ,7.0,7.0,7.0,9.0,1.0,0.7777777777777778
Public School District,Secondary 9-12,49002,Brandon Valley 49-2,1,Brandon Valley High School - 01,301 S Splitrock Blvd,Brandon,SD,57005,49002.0,Brandon Valley 49-2           ,1.0,Brandon Valley Hi Sch                   ,255.0,243.0,265.0,268.0,0.9622641509433962,0.9067164179104478
Public School District,Secondary 9-12,30003,Bridgewater-Emery 30-3,1,Bridgewater-Emery High School - 01,130 N 6th St,Emery,SD,57332,30003.0,Bridgewater-Emery 30-3        ,1.0,Bridgewater-Emery High School           ,25.0,24.0,25.0,24.0,1.0,1.0
Public School District,Secondary 9-12,45004,Britton-Hecla 45-4,1,Britton-Hecla High School - 01,759 5th St,Britton,SD,57430,45004.0,Britton-Hecla 45-4            ,1.0,Britton-Hecla High School               ,23.0,26.0,26.0,27.0,0.8846153846153846,0.9629629629629629
Public School District,Secondary 9-12,45004,Britton-Hecla 45-4,6,Sunset Colony High School - 06,41632 109th St,Britton,SD,57430,45004.0,Britton-Hecla 45-4            ,6.0,Sunset Colony High School               ,1.0,3.0,3.0,6.0,0.3333333333333333,0.5
Public School District,Secondary 9-12,5001,Brookings 05-1,1,Brookings High School - 01,530 Elm Ave,Brookings,SD,57006,5001.0,Brookings 05-1                ,1.0,Brookings Hi Sch                        ,213.0,200.0,207.0,188.0,1.0289855072463767,1.0638297872340425
Public School District,Secondary 9-12,26002,Burke 26-2,1,Burke High School - 01,900 Washington St,Burke,SD,57523,26002.0,Burke 26-2                    ,1.0,Burke High School                       ,20.0,12.0,14.0,13.0,1.4285714285714286,0.9230769230769231
Public School District,Secondary 9-12,43001,Canistota 43-1,1,Canistota High School - 01,431 4th Ave,Canistota,SD,57012,43001.0,Canistota 43-1                ,1.0,Canistota High School                   ,15.0,17.0,15.0,13.0,1.0,1.3076923076923077
