DistrictType,SchoolType,DistrictNumber,DistrictName,SchoolNumber,SchoolName,SchoolAddress,SchoolCity,SchoolState,SchoolZip,County Lookup,District No.,District Name,School No.,School Name,Juniors This Year,Seniors This Year,Juniors Last Year,Seniors Last Year,JuniorDelta,SeniorDelta,County,SchoolZipCleaned
Public School District,Secondary 9-12,6001,Aberdeen 06-1,1,Central High School - 01,2200 S Roosevelt St,Aberdeen,SD,57401,Aberdeen SD,6001.0,Aberdeen 06-1                 ,1.0,Central High School                     ,336.0,315.0,336.0,315.0,1.0,1.0,,57401
Public School District,Aux Placement,6001,Aberdeen 06-1,89,New Beginnings - 89,1601 Milwaukee Ave NE,Aberdeen,SD,57401,Aberdeen SD,6001.0,Aberdeen 06-1                 ,89.0,New Beginnings                          ,2.0,0.0,2.0,0.0,1.0,,,57401
Public School District,Secondary 9-12,58003,Agar-Blunt-Onida 58-3,7,Sully Buttes High School - 07,500 8th St,Onida,SD,57564,Onida SD,58003.0,Agar-Blunt-Onida 58-3         ,7.0,Sully Buttes High School                ,14.0,25.0,14.0,25.0,1.0,1.0,,57564
Public School District,Secondary 9-12,61001,Alcester-Hudson 61-1,1,Alcester-Hudson High School - 01,102 E 5th,Alcester,SD,57001,Alcester SD,61001.0,Alcester-Hudson 61-1          ,1.0,Alcester-Hudson High School             ,25.0,15.0,25.0,15.0,1.0,1.0,,57001
Public School District,Secondary 9-12,11001,Andes Central 11-1,1,Andes Central High School - 01,400 School St,Lake Andes,SD,57356,Lake Andes SD,11001.0,Andes Central 11-1            ,1.0,Andes Central High School               ,18.0,11.0,18.0,11.0,1.0,1.0,,57356
Public School District,Secondary 9-12,38001,Arlington 38-1,1,Arlington High School - 01,306 S Main St,Arlington,SD,57212,Arlington SD,38001.0,Arlington 38-1                ,1.0,Arlington High School                   ,17.0,23.0,17.0,23.0,1.0,1.0,,57212
Public School District,Secondary 9-12,21001,Armour 21-1,1,Armour High School - 01,604 3rd St,Armour,SD,57313,Armour SD,21001.0,Armour 21-1                   ,1.0,Armour High School                      ,17.0,11.0,17.0,11.0,1.0,1.0,,57313
Public School District,Secondary 9-12,4001,Avon 04-1,1,Avon High School - 01,210 Pine St,Avon,SD,57315,Avon SD,4001.0,Avon 04-1                     ,1.0,Avon High School                        ,22.0,25.0,22.0,25.0,1.0,1.0,,57315
Public School District,Secondary 9-12,49001,Baltic 49-1,1,Baltic High School - 01,1 Bulldog Ave,Baltic,SD,57003,Baltic SD,49001.0,Baltic 49-1                   ,1.0,Baltic High School                      ,46.0,42.0,46.0,42.0,1.0,1.0,,57003
Public School District,Secondary 9-12,9001,Belle Fourche 09-1,9,Belle Fourche Education Connection - 09,1301 12th Ave,Belle Fourche,SD,57717,Belle Fourche SD,9001.0,Belle Fourche 09-1            ,9.0,Belle Fourche Education Connection      ,10.0,13.0,10.0,13.0,1.0,1.0,,57717
Public School District,Secondary 9-12,9001,Belle Fourche 09-1,1,Belle Fourche High School - 01,1301 12th Ave,Belle Fourche,SD,57717,Belle Fourche SD,9001.0,Belle Fourche 09-1            ,1.0,Belle Fourche HS                        ,106.0,88.0,106.0,88.0,1.0,1.0,,57717
Public School District,Secondary 9-12,3001,Bennett County 03-1,1,Bennett County High School - 01,202 E School St,Martin,SD,57551,Martin SD,3001.0,Bennett County 03-1           ,1.0,Bennett County High School              ,38.0,38.0,38.0,38.0,1.0,1.0,,57551
Public School District,Secondary 9-12,61002,Beresford 61-2,1,Beresford High School - 01,301 W Maple St,Beresford,SD,57004,Beresford SD,61002.0,Beresford 61-2                ,1.0,Beresford High School                   ,45.0,51.0,45.0,51.0,1.0,1.0,,57004
Public School District,Secondary 9-12,52001,Bison 52-1,1,Bison High School - 01,200 E Carr St,Bison,SD,57620,Bison SD,52001.0,Bison 52-1                    ,1.0,Bison High School                       ,14.0,13.0,14.0,13.0,1.0,1.0,,57620
Public School District,Secondary 9-12,4002,Bon Homme 04-2,19,Bon Homme Colony Alternative High School - 19,31232 The Colony Rd,Tabor,SD,57063,Tabor SD,4002.0,Bon Homme 04-2                ,19.0,BH Colony Alternative HS                ,2.0,3.0,2.0,3.0,1.0,1.0,,57063
Public School District,Secondary 9-12,4002,Bon Homme 04-2,1,Bon Homme High School - 01,1404 Fir St,Tyndall,SD,57066,Tyndall SD,4002.0,Bon Homme 04-2                ,1.0,Bon Homme High School                   ,31.0,30.0,31.0,30.0,1.0,1.0,,57066
Public School District,Secondary 9-12,22001,Bowdle 22-1,1,Bowdle High School - 01,3083 2nd Ave,Bowdle,SD,57428-0563,Bowdle SD,22001.0,Bowdle 22-1                   ,1.0,Bowdle High School                      ,7.0,9.0,7.0,9.0,1.0,1.0,,57428
Public School District,Secondary 9-12,49002,Brandon Valley 49-2,1,Brandon Valley High School - 01,301 S Splitrock Blvd,Brandon,SD,57005,Brandon SD,49002.0,Brandon Valley 49-2           ,1.0,Brandon Valley Hi Sch                   ,265.0,268.0,265.0,268.0,1.0,1.0,,57005
Public School District,Secondary 9-12,30003,Bridgewater-Emery 30-3,1,Bridgewater-Emery High School - 01,130 N 6th St,Emery,SD,57332,Emery SD,30003.0,Bridgewater-Emery 30-3        ,1.0,Bridgewater-Emery High School           ,25.0,24.0,25.0,24.0,1.0,1.0,,57332
Public School District,Secondary 9-12,45004,Britton-Hecla 45-4,1,Britton-Hecla High School - 01,759 5th St,Britton,SD,57430,Britton SD,45004.0,Britton-Hecla 45-4            ,1.0,Britton-Hecla High School               ,26.0,27.0,26.0,27.0,1.0,1.0,,57430
Public School District,Secondary 9-12,45004,Britton-Hecla 45-4,6,Sunset Colony High School - 06,41632 109th St,Britton,SD,57430,Britton SD,45004.0,Britton-Hecla 45-4            ,6.0,Sunset Colony High School               ,3.0,6.0,3.0,6.0,1.0,1.0,,57430
Public School District,Secondary 9-12,5001,Brookings 05-1,1,Brookings High School - 01,530 Elm Ave,Brookings,SD,57006,Brookings SD,5001.0,Brookings 05-1                ,1.0,Brookings Hi Sch                        ,207.0,188.0,207.0,188.0,1.0,1.0,,57006
Public School District,Secondary 9-12,26002,Burke 26-2,1,Burke High School - 01,900 Washington St,Burke,SD,57523,Burke SD,26002.0,Burke 26-2                    ,1.0,Burke High School                       ,14.0,13.0,14.0,13.0,1.0,1.0,,57523
Public School District,Secondary 9-12,43001,Canistota 43-1,1,Canistota High School - 01,431 4th Ave,Canistota,SD,57012,Canistota SD,43001.0,Canistota 43-1                ,1.0,Canistota High School                   ,15.0,13.0,15.0,13.0,1.0,1.0,,57012
Public School District,Secondary 9-12,41001,Canton 41-1,1,Canton High School - 01,800 N Main St,Canton,SD,57013-1299,Canton SD,41001.0,Canton 41-1                   ,1.0,Canton High School                      ,67.0,64.0,67.0,64.0,1.0,1.0,,57013
Public School District,Secondary 9-12,28001,Castlewood 28-1,1,Castlewood High School - 01,310 E Harry St,Castlewood,SD,57223,Castlewood SD,28001.0,Castlewood 28-1               ,1.0,Castlewood High School                  ,20.0,21.0,20.0,21.0,1.0,1.0,,57223
Public School District,Secondary 9-12,60001,Centerville 60-1,1,Centerville High School - 01,610 Lincoln St,Centerville,SD,57014-0100,Centerville SD,60001.0,Centerville 60-1              ,1.0,Centerville Hi Sch                      ,10.0,7.0,10.0,7.0,1.0,1.0,,57014
Public School District,Secondary 9-12,7001,Chamberlain 07-1,1,Chamberlain High School - 01,1000 Sorenson Dr,Chamberlain,SD,57325-0119,Chamberlain SD,7001.0,Chamberlain 07-1              ,1.0,Chamberlain High School                 ,59.0,46.0,59.0,46.0,1.0,1.0,,57325
Public School District,Virtual Secondary 9-12,39001,Chester Area 39-1,92,Chester Area Cyber School - 92,500 5th St,Chester,SD,57016,Chester SD,39001.0,Chester Area 39-1             ,92.0,Chester Area Cyber School               ,30.0,21.0,30.0,21.0,1.0,1.0,,57016
Public School District,Secondary 9-12,39001,Chester Area 39-1,1,Chester High School - 01,102 2nd Ave,Chester,SD,57016,Chester SD,39001.0,Chester Area 39-1             ,1.0,Chester Area High School                ,24.0,31.0,24.0,31.0,1.0,1.0,,57016
Public School District,Alternative 7-12,39001,Chester Area 39-1,6,High Plains - 06,500 5th St,Chester ,SD,57016,Chester  SD,39001.0,Chester Area 39-1             ,6.0,Alternative School                      ,12.0,19.0,12.0,19.0,1.0,1.0,,57016
Public School District,Secondary 9-12,12002,Clark 12-2,1,Clark High School - 01,220 N Clinton St,Clark,SD,57225,Clark SD,12002.0,Clark 12-2                    ,1.0,Clark High School                       ,12.0,22.0,12.0,22.0,1.0,1.0,,57225
Public School District,Secondary 9-12,50005,Colman-Egan 50-5,1,Colman-Egan High School - 01,200 S Loban Ave,Colman,SD,57017-0239,Colman SD,50005.0,Colman-Egan 50-5              ,1.0,Colman-Egan Hi Sch                      ,19.0,19.0,19.0,19.0,1.0,1.0,,57017
Public School District,Secondary 9-12,59003,Colome Consolidated 59-3,1,Colome High School - 01,105 Carr St,Colome,SD,57528-0367,Colome SD,59003.0,Colome Consolidated           ,1.0,Colome High School                      ,16.0,19.0,16.0,19.0,1.0,1.0,,57528
Public School District,Secondary 9-12,21003,Corsica-Stickney 21-3,1,Corsica-Stickney High School - 01,120 S Napoleon Ave,Corsica,SD,57328,Corsica SD,21003.0,Corsica-Stickney 21-3         ,1.0,Corsica-Stickney High School            ,16.0,17.0,16.0,17.0,1.0,1.0,,57328
Public School District,Secondary 9-12,16001,Custer 16-1,1,Custer High School - 01,1645 Wildcat Ln,Custer,SD,57730-1124,Custer SD,16001.0,Custer 16-1                   ,1.0,Custer High School                      ,60.0,58.0,60.0,58.0,1.0,1.0,,57730
