Public School Name,District Name,LEA Code,CESA,School Code,School Type,Low Grade,High Grade,Contact,Contact Title,Physical Address,Mailing Address,Mailing City,Mailing Zip,Mailing Zip + 4,Shipping Address,Physical City,County Code,County Name,Phone,Extension,Fax,Email,Website,School Category,Charter,Virtual,District NCES,School NCES,Agency Type Description
21st Century eSchool,Middleton-Cross Plains Area,3549,02,0800,Combined Elementary/Secondary School,KG,12,Jill  Gurtner,Principal,2429 Clark St  Middleton WI  53562-2619,"2429 Clark St Middleton WI  53562-2619  ",Middleton,53562,2619,"2429 Clark St Middleton WI  53562-2619  ",Middleton,13,Dane,608-829-9641,N/A,6088315160,jgurtner@mcpasd.k12.wi.us,www.mcpasd.k12.wi.us,Regular,Charter,Exclusively Virtual,5509510,02818,Public school
21st Century Prep Sch,21st Century Prep Sch,8110,01,0100,Elementary School,K4,08,Valencia  Koker,Executive Director,1220 Mound Ave  Racine WI  53404,"1220 Mound Ave Racine WI  53404  ",Racine,53404,,"1220 Mound Ave Racine WI  53404  ",Racine,51,Racine,262-598-0026,1170,2625980031,vkoker@tcpswi.org,www.21stprepschool.org,Regular,Charter,Primarily Classroom (Supplemental Virtual),5500045,02575,Non District Charter Schools
4K Center for Literacy,Kimberly Area,2835,06,0150,Elementary School,K4,PK,Sean  Fitzgerald,Principal,614 E Kimberly Ave  Kimberly WI  54136-1513,"614 E Kimberly Ave Kimberly WI  54136-1513  ",Kimberly,54136,1513,"614 E Kimberly Ave Kimberly WI  54136-1513  ",Kimberly,44,Outagamie,920-423-4190,N/A,9204234191,kasd@kimberly.k12.wi.us,www.kimberly.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5507470,03029,Public school
4K Community Sch,Burlington Area,0777,02,0150,Elementary School,K4,K4,Connie  Zinnen,Assistant Superintendent of Instruction,100 N Kane St  Burlington WI  53105-1896,"100 N Kane St Burlington WI  53105-1896  ",Burlington,53105,1896,"100 N Kane St Burlington WI  53105-1896  ",Burlington,51,Racine,262-763-0210,N/A,2627630215,czinnen@basd.k12.wi.us,www.basd.k12.wi.us,Regular,No,No,5501890,02987,Public school
4K Community-Based,Reedsburg,4753,05,0150,Elementary School,K4,K4,Paul  Bierman,Principal,401 Alexander Ave  Reedsburg WI  53959-1592,"401 Alexander Ave Reedsburg WI  53959-1592  ",Reedsburg,53959,1592,"401 Alexander Ave Reedsburg WI  53959-1592  ",Reedsburg,56,Sauk,608-524-2016,2028,6087688935,pbierman@rsd.k12.wi.us,www.rsd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5512660,02889,Public school
4K McFarland,McFarland,3381,02,0150,Elementary School,K4,K4,Kelley  Novak,Principal,6009 Johnson St  McFarland WI  53558,"6009 Johnson St McFarland WI  53558  ",McFarland,53558,,"6009 Johnson St McFarland WI  53558  ",McFarland,13,Dane,608-838-4602,N/A,6088384612,novakk@mcfsd.org,www.mcfarland.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5508910,02902,Public school
4K PK Off Site,Madison Metropolitan,3269,02,0190,Elementary School,K4,PK,Scott  Zimmerman,Contact Person,545 W Dayton St  Madison WI  53703,"545 W Dayton St Madison WI  53703  ",Madison,53703,,"545 W Dayton St Madison WI  53703  ",Madison,13,Dane,608-663-8486,N/A,6082040553,szimmerman@madison.k12.wi.us,www.madison.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5508520,02475,Public school
7 Rivers Community Hi,La Crosse,2849,04,0440,High School,09,12,Penny A Reedy,Principal,Hogan Administrative Center 807 East Ave S La Crosse WI  54601,"Hogan Administrative Center 807 East Ave S La Crosse WI  54601 ",La Crosse,54601,,"Hogan Administrative Center 807 East Ave S La Crosse WI  54601 ",La Crosse,32,La Crosse,608-789-7670,N/A,6087897711,preedy@lacrossesd.org,"www.lacrosseschools.org ",Regular,Charter,Primarily Classroom (Supplemental Virtual),5507530,02950,Public school
Abbotsford El,Abbotsford,0007,10,0020,Elementary School,K4,05,Gary  Gunderson,Principal,510 W Hemlock St  Abbotsford WI  54405,"510 W Hemlock St Abbotsford WI  54405  ",Abbotsford,54405,,"510 W Hemlock St Abbotsford WI  54405  ",Abbotsford,10,Clark,715-223-4281,3030,7152230691,ggunderson@abbotsford.k12.wi.us,www.abbotsford.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500030,00001,Public school
Abbotsford Mid/Sr Hi,Abbotsford,0007,10,0040,High School,06,12,Ryan  Bargender,Principal,307 N 4th Ave  Abbotsford WI  54405,"307 N 4th Ave Abbotsford WI  54405  ",Abbotsford,54405,,"510 W Hemlock St Abbotsford WI  54405  ",Abbotsford,10,Clark,715-223-2386,4060,7152233986,rbargender@abbotsford.k12.wi.us,www.abbotsford.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500030,00002,Public school
Abraham Lincoln El,Monroe,3682,02,0010,Elementary School,K4,05,Sara  Latimer,Principal,2625 14th Ave  Monroe WI  53566-3373,"2625 14th Ave Monroe WI  53566-3373  ",Monroe,53566,3373,"2625 14th Ave Monroe WI  53566-3373  ",Monroe,23,Green,608-328-7552,N/A,6083287228,saralatimer@monroe.k12.wi.us,www.monroeschools.com,Regular,No,Primarily Classroom (Supplemental Virtual),5509840,02771,Public school
Abrams El,Oconto Falls Public,4074,08,0020,Elementary School,K4,05,Joanne  Michalski,Principal,3000 Elm St  Abrams WI  54101,"3000 Elm St Abrams WI  54101  ",Abrams,54101,,"3000 Elm St Abrams WI  54101  ",Abrams,42,Oconto,920-826-5819,N/A,9208267858,joanne.michalski@of-ps.org,www.ofpanthers.com,Regular,No,Primarily Classroom (Supplemental Virtual),5510950,01431,Public school
Acad of Accelerated Learning,Milwaukee,3619,01,0316,Elementary School,K3,05,Eric  Rian,Principal,3727 S 78th St  Milwaukee WI  53220-1603,"3727 S 78th St Milwaukee WI  53220-1603  ",Milwaukee,53220,1603,"3727 S 78th St Milwaukee WI  53220-1603  ",Milwaukee,40,Milwaukee,414-604-7300,N/A,4146047315,316@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600,01239,Public school
ACE Charter Sch,Neenah Joint,3892,06,0125,Elementary School,KG,05,Diane  Luft,Principal,215 E Forest Ave  Neenah WI  54956-2765,"215 E Forest Ave Neenah WI  54956-2765  ",Neenah,54956,2765,"215 E Forest Ave Neenah WI  54956-2765  ",Neenah,70,Winnebago,920-751-6970,18101,9207516861,dluft@neenah.k12.wi.us,www.neenah.k12.wi.us,Regular,Charter,No,5510320,03366,Public school
Adams El,Janesville,2695,02,0020,Elementary School,K4,05,Dana  Simmons,Principal,1138 E Memorial Dr  Janesville WI  53545-1800,"1138 E Memorial Dr Janesville WI  53545-1800  ",Janesville,53545,1800,"1138 E Memorial Dr Janesville WI  53545-1800  ",Janesville,53,Rock,608-743-6305,N/A,6087436310,dsimmons@janesville.k12.wi.us,www.janesville.k12.wi.us/ada,Regular,No,Primarily Classroom (Supplemental Virtual),5507020,00756,Public school
Adams-Friendship El,Adams-Friendship Area,0014,05,0130,Elementary School,K4,05,Roxanne  Irey,Principal,500 N Pierce St  Adams WI  53910,"201 W 6th St Friendship WI  53934  ",Friendship,53934,,"500 N Pierce St Adams WI  53910  ",Adams,01,Adams,608-339-3016,1401,6083390416,gould_g@afasd.net,www.afasd.net,Regular,No,Primarily Classroom (Supplemental Virtual),5500060,01433,Public school
Adams-Friendship Hi,Adams-Friendship Area,0014,05,0040,High School,09,12,Kevin  Moore,Principal,1109 E North St  Adams WI  53910,"1109 E North St Adams WI  53910  ",Adams,53910,,"1109 E North St Adams WI  53910  ",Adams,01,Adams,608-339-3921,1101,6083392569,moore_k@afasd.net,www.afasd.net,Regular,No,Primarily Classroom (Supplemental Virtual),5500060,00005,Public school
Adams-Friendship Mid,Adams-Friendship Area,0014,05,0210,Middle School,06,08,Michelle  Johnson,Principal,420 N Main St  Adams WI  53910,"201 W 6th St Friendship WI  53934  ",Friendship,53934,,"420 N Main St Adams WI  53910  ",Adams,01,Adams,608-339-4064,1301,6083392434,kaczor_d@afasd.net,www.afasd.net,Regular,No,Primarily Classroom (Supplemental Virtual),5500060,01454,Public school
Addison El,Slinger,5390,06,0100,Elementary School,K4,05,Joel  Dziedzic,Principal,5050 Indian Rd  Hartford WI  53027,"5050 Indian Rd Hartford WI  53027  ",Hartford,53027,,"5050 Indian Rd Hartford WI  53027  ",Hartford,66,Washington,262-644-8037,6010,2626441936,joel.dziedzic@slingerschools.org,www.slinger.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5513950,02540,Public school
Advanced Learning Acad of WI,Barron Area,0308,11,0810,Combined Elementary/Secondary School,KG,12,Jessica  Mullikin,Program Coordinator,Barron High 1050 E Woodland Ave Barron WI  54812-1052,"Barron High 1050 E Woodland Ave Barron WI  54812-1052 ",Barron,54812,1052,"Barron High 1050 E Woodland Ave Barron WI  54812-1052 ",Barron,03,Barron,715-537-5627,133,7156375161,mullikinj@barron.k12.wi.us,www.barron.k12.wi.us/schools/alaw.cfm,Regular,Charter,Exclusively Virtual,5500870,02864,Public school
Al Behrman El,Baraboo,0280,05,0180,Elementary School,PK,05,John  Blosenski,Principal,400 Mulberry St  Baraboo WI  53913-3012,"400 Mulberry St Baraboo WI  53913-3012  ",Baraboo,53913,3012,"400 Mulberry St Baraboo WI  53913-3012  ",Baraboo,56,Sauk,608-355-3910,N/A,6083553971,jblosenski@barabooschools.net,www.baraboo.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500810,00109,Public school
ALBA,Milwaukee,3619,01,0162,Elementary School,K3,05,Brenda  Martinez,Teacher in Charge,1712 S 32nd St  Milwaukee WI  53215-2104,"1712 S 32nd St Milwaukee WI  53215-2104  ",Milwaukee,53215,2104,"1712 S 32nd St Milwaukee WI  53215-2104  ",Milwaukee,40,Milwaukee,414-902-7525,N/A,4149027526,076@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,Charter,Primarily Classroom (Supplemental Virtual),5509600,03371,Public school
Albany Community Mid,Albany,0063,02,0060,Middle School,06,08,Connie  Gregerson,Principal,400 5th St  Albany WI  53502-9504,"PO Box 349 Albany WI  53502-0349  ",Albany,53502,0349,"400 5th St Albany WI  53502-9504  ",Albany,23,Green,608-862-3135,N/A,6088623230,connie.gregerson@albany.k12.wi.us,www.albany.k12.wi.us,Regular,Charter,Primarily Classroom (Supplemental Virtual),5500120,02357,Public school
Albany El,Albany,0063,02,0020,Elementary School,K4,05,Connie  Gregerson,Principal,400 5th St  Albany WI  53502-9504,"PO Box 349 Albany WI  53502-0349  ",Albany,53502,0349,"400 5th St Albany WI  53502-9504  ",Albany,23,Green,608-862-3135,N/A,6088623230,connie.gregerson@albany.k12.wi.us,www.albany.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500120,00013,Public school
Albany Hi,Albany,0063,02,0040,High School,09,12,Connie  Gregerson,Principal,400 5th St  Albany WI  53502-9504,"PO Box 349 Albany WI  53502-0349  ",Albany,53502,0349,"400 5th St Albany WI  53502-9504  ",Albany,23,Green,608-862-3135,2414,6088623230,connie.gregerson@albany.k12.wi.us,www.albany.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500120,00014,Public school
Alcott El,Milwaukee,3619,01,0075,Elementary School,K3,08,Marisol  Alvarado-Patton,Principal,3563 S 97th St  Milwaukee WI  53228-1416,"3563 S 97th St Milwaukee WI  53228-1416  ",Milwaukee,53228,1416,"3563 S 97th St Milwaukee WI  53228-1416  ",Milwaukee,40,Milwaukee,414-604-7400,N/A,4146047415,075@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600,01121,Public school
