DISTRICT_CODE,SCHOOL_CODE,Juniors Last Year,Seniors Last Year,SCHOOL_NAME,DISTRICT_NAME,Juniors This Year,Seniors This Year,Public School Name,District Name,LEA Code,CESA,School Code,School Type,Low Grade,High Grade,Contact,Contact Title,Physical Address,Mailing Address,Mailing City,Mailing Zip,Mailing Zip + 4,Shipping Address,Physical City,County Code,County Name,Phone,Extension,Fax,Email,Website,School Category,Charter,Virtual,District NCES,School NCES,Agency Type Description
7,40.0,45,52,Abbotsford Middle/Senior High,Abbotsford,49,58,Abbotsford Mid/Sr Hi,Abbotsford,7,10,40,High School,06,12,Ryan  Bargender,Principal,307 N 4th Ave  Abbotsford WI  54405,307 N 4th Ave Abbotsford WI  54405  ,Abbotsford,54405.0,,510 W Hemlock St Abbotsford WI  54405  ,Abbotsford,10,Clark,715-223-2386,4060.0,7152233986.0,rbargender@abbotsford.k12.wi.us,www.abbotsford.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500030.0,2.0,Public school
14,40.0,133,103,Adams-Friendship High,Adams-Friendship Area,101,135,Adams-Friendship Hi,Adams-Friendship Area,14,5,40,High School,09,12,Kevin  Moore,Principal,1109 E North St  Adams WI  53910,1109 E North St Adams WI  53910  ,Adams,53910.0,,1109 E North St Adams WI  53910  ,Adams,1,Adams,608-339-3921,1101.0,6083392569.0,moore_k@afasd.net,www.afasd.net,Regular,No,Primarily Classroom (Supplemental Virtual),5500060.0,5.0,Public school
63,40.0,28,31,Albany High,Albany,29,24,Albany Hi,Albany,63,2,40,High School,09,12,Connie  Gregerson,Principal,400 5th St  Albany WI  53502-9504,PO Box 349 Albany WI  53502-0349  ,Albany,53502.0,349.0,400 5th St Albany WI  53502-9504  ,Albany,23,Green,608-862-3135,2414.0,6088623230.0,connie.gregerson@albany.k12.wi.us,www.albany.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500120.0,14.0,Public school
70,40.0,70,65,Algoma High,Algoma,61,59,Algoma Hi,Algoma,70,7,40,High School,07,12,Nicholas  Cochart,Principal,1715 Division St  Algoma WI  54201-1498,1715 Division St Algoma WI  54201-1498  ,Algoma,54201.0,1498.0,1715 Division St Algoma WI  54201-1498  ,Algoma,31,Kewaunee,920-487-7001,2303.0,9204877005.0,ncochart@alghs.k12.wi.us,www.algomawolves.org,Regular,No,Primarily Classroom (Supplemental Virtual),5500150.0,16.0,Public school
84,40.0,16,12,Alma High,Alma,14,21,Alma Hi,Alma,84,4,40,High School,09,12,Robert  Stewart,District Administrator,S1618 State Road 35  Alma WI  54610-8301,S1618 State Road 35 Alma WI  54610-8301  ,Alma,54610.0,8301.0,S1618 State Road 35 Alma WI  54610-8301  ,Alma,6,Buffalo,608-685-4416,209.0,6086854446.0,stewartr@alma.k12.wi.us,www.alma.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500180.0,18.0,Public school
91,60.0,40,47,Lincoln High,Alma Center,47,39,Lincoln Hi,Alma Center,91,4,60,High School,09,12,Glenda  Morgan,Principal,124 S School St  Alma Center WI  54611-1200,PO Box 308 Alma Center WI  54611-0308  ,Alma Center,54611.0,308.0,124 S School St Alma Center WI  54611-1200  ,Alma Center,27,Jackson,715-964-5311,,7159641005.0,glenda_morgan@achm.k12.wi.us,www.achm.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500210.0,20.0,Public school
105,40.0,20,27,Almond-Bancroft High,Almond-Bancroft,27,31,Almond-Bancroft Hi,Almond-Bancroft,105,5,40,High School,09,12,Jeff  Rykal,Principal,1336 Elm St  Almond WI  54909,1336 Elm St Almond WI  54909  ,Almond,54909.0,,1336 Elm St Almond WI  54909  ,Almond,49,Portage,715-366-2941,416.0,7153662943.0,jrykal@abschools.k12.wi.us,www.abschools.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500240.0,24.0,Public school
112,40.0,115,99,Altoona High,Altoona,97,102,Altoona Hi,Altoona,112,10,40,High School,09,12,Jason  LeMay,Principal,711 7th St W  Altoona WI  54720-1584,711 7th St W Altoona WI  54720-1584  ,Altoona,54720.0,1584.0,711 7th St W Altoona WI  54720-1584  ,Altoona,18,Eau Claire,715-839-6031,402.0,7158396028.0,jlemay@altoona.k12.wi.us,www.altoona.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500270.0,26.0,Public school
119,40.0,115,101,Amery High,Amery,105,126,Amery Hi,Amery,119,11,40,High School,09,12,Shawn C Doerfler,Principal,555 Minneapolis Ave S  Amery WI  54001-1598,555 Minneapolis Ave S Amery WI  54001-1598  ,Amery,54001.0,1598.0,555 Minneapolis Ave S Amery WI  54001-1598  ,Amery,48,Polk,715-268-9771,233.0,7152687792.0,doerflers@amerysd.k12.wi.us,www.amerysd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500300.0,30.0,Public school
140,70.0,203,211,Antigo High,Antigo Unified,210,171,Antigo Hi,Antigo Unified,140,9,70,High School,08,12,Clint  Rogers,Principal,1900 10th Ave  Antigo WI  54409-1015,1900 10th Ave Antigo WI  54409-1015  ,Antigo,54409.0,1015.0,1900 10th Ave Antigo WI  54409-1015  ,Antigo,34,Langlade,715-623-7611,,7156237624.0,crogers@antigoschools.org,www.antigo.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500360.0,37.0,Public school
